Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/iMaces/CoM/raw/master/ATV/pictures/MonctonCityHall.png,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
Exhibit02,https://github.com/iMaces/CoM/raw/master/ATV/pictures/MonctonSkylineDowntown2.png,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
Exhibit03,https://github.com/iMaces/CoM/raw/master/ATV/pictures/MonctonSkylineNightFireworks.png,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
Exhibit04,https://github.com/iMaces/CoM/raw/master/ATV/pictures/MonctonSkylineNightWide.png,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
Exhibit05,https://github.com/iMaces/CoM/raw/master/ATV/pictures/MonctonSkyline.png,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
